Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000146,0,1147.18,0.0686147,301.971,0.754069,0.0137767,0,5.23867e-08,0.231677,1.09436e-06,5.60016e-07,5.58647e-07,0.000146249,3.71935e-07,4.32953e-05,0.000174752,5.04229e-09,8.11364e-08,2.7163e-07,7.30111e-07,9.30961e-09,7.84247e-11,2.27933e-06,7.63899e-09,3.26422e-08,1.37404e-07,1.58444e-07,6.91032e-07,2.62759e-08,6.86722e-09,1.91589e-07,1.48998e-08,1.69869e-06,0,0.00010428,3.79236e-08,1.84691e-08,4.32398e-09
0.00029,0,408.629,0.135346,303.883,0.753894,0.0137735,0,1.03375e-07,0.231392,2.15912e-06,1.1047e-06,1.10188e-06,0.000288156,7.32136e-07,8.531e-05,0.000344323,9.94442e-09,1.60033e-07,5.34967e-07,1.4369e-06,1.83859e-08,1.54921e-10,4.49495e-06,1.50129e-08,6.42231e-08,2.70757e-07,3.11635e-07,1.36482e-06,5.19025e-08,1.35144e-08,3.77333e-07,2.94513e-08,3.34319e-06,0,0.000204339,7.45615e-08,3.64906e-08,8.51435e-09
0.000433,0,-322.047,0.200743,305.752,0.753725,0.0137704,0,1.53383e-07,0.231114,3.20303e-06,1.63854e-06,1.63418e-06,0.000426911,1.08366e-06,0.000126396,0.000510132,1.47469e-08,2.37341e-07,7.92231e-07,2.12639e-06,2.73027e-08,2.30109e-10,6.6652e-06,2.21857e-08,9.50123e-08,4.01177e-07,4.60889e-07,2.02684e-06,7.70875e-08,1.99981e-08,5.58797e-07,4.37715e-08,4.94748e-06,0,0.00030109,1.1023e-07,5.42101e-08,1.26065e-08
0.000574,0,-1045.19,0.264429,307.567,0.75356,0.0137674,0,2.0212e-07,0.230844,4.22004e-06,2.15845e-06,2.15249e-06,0.000561729,1.42455e-06,0.00016632,0.000671242,1.94221e-08,3.12614e-07,1.04198e-06,2.79476e-06,3.60072e-08,3.03542e-10,8.77765e-06,2.9119e-08,1.24841e-07,5.27925e-07,6.05391e-07,2.67319e-06,1.01682e-07,2.62826e-08,7.34965e-07,5.77748e-08,6.5027e-06,0,0.000394054,1.44735e-07,7.15223e-08,1.65776e-08
0.000713,0,-1761.13,0.326484,309.332,0.753401,0.0137645,0,2.49646e-07,0.230582,5.21139e-06,2.66508e-06,2.65747e-06,0.000692801,1.75533e-06,0.000205139,0.000827879,2.39759e-08,3.8595e-07,1.28458e-06,3.44306e-06,4.45092e-08,3.75301e-10,1.08351e-05,3.5825e-08,1.53756e-07,6.51181e-07,7.45379e-07,3.30458e-06,1.25713e-07,3.23776e-08,9.06094e-07,7.14755e-08,8.01128e-06,0,0.000483441,1.78137e-07,8.84459e-08,2.04335e-08
0.000851,0,-2470.2,0.38742,311.06,0.753246,0.0137617,0,2.9635e-07,0.230326,6.18527e-06,3.16261e-06,3.1533e-06,0.000821226,2.07882e-06,0.000243178,0.000981359,2.84461e-08,4.57955e-07,1.52208e-06,4.07681e-06,5.2878e-08,4.45968e-10,1.28545e-05,4.23619e-08,1.82005e-07,7.71978e-07,8.82055e-07,3.92615e-06,1.49375e-07,3.83351e-08,1.07363e-06,8.49841e-08,9.48605e-06,0,0.000570064,2.10723e-07,1.05118e-07,2.42069e-08
0.000988,0,-3172.71,0.447292,312.755,0.753095,0.0137589,0,3.42273e-07,0.230074,7.14252e-06,3.65149e-06,3.64042e-06,0.00094713,2.39535e-06,0.000280475,0.00113183,3.28368e-08,5.28694e-07,1.75473e-06,4.6967e-06,6.11201e-08,5.15598e-10,1.48378e-05,4.87376e-08,2.0962e-07,8.90434e-07,1.01557e-06,4.53841e-06,1.72688e-07,4.41616e-08,1.23774e-06,9.83106e-08,1.09286e-05,0,0.000654057,2.42532e-07,1.21552e-07,2.79016e-08
0.001123,0,-3868.98,0.505718,314.404,0.752948,0.0137562,0,3.87121e-07,0.22983,8.07703e-06,4.1286e-06,4.11574e-06,0.00106973,2.70298e-06,0.000316796,0.00127835,3.71199e-08,5.97718e-07,1.98107e-06,5.29893e-06,6.91822e-08,5.83739e-10,1.67725e-05,5.4914e-08,2.36432e-07,1.00581e-06,1.14513e-06,5.13739e-06,1.955e-07,4.98213e-08,1.3974e-06,1.11368e-07,1.23301e-05,0,0.000734952,2.73372e-07,1.3764e-07,3.14948e-08
0.001258,0,-4559.3,0.563611,316.034,0.752803,0.0137536,0,4.31593e-07,0.229588,9.00337e-06,4.60138e-06,4.58669e-06,0.00119094,3.00656e-06,0.000352711,0.00142323,4.13626e-08,6.66105e-07,2.20468e-06,5.89301e-06,7.71895e-08,6.51447e-10,1.86888e-05,6.09897e-08,2.62865e-07,1.11992e-06,1.27277e-06,5.73238e-06,2.18165e-07,5.54038e-08,1.55514e-06,1.24358e-07,1.37127e-05,0,0.000814067,3.03733e-07,1.53632e-07,3.50432e-08
