Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000481,0,-573.212,0,299.991,0.753887,0.013773,0,0,0.231858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000481,0,0,0
0.000949,0,-2973.59,0,299.979,0.753535,0.013767,0,0,0.23175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000949,0,0,0
0.001403,0,-5311.46,0,299.962,0.753192,0.013761,0,0,0.231645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001403,0,0,0
0.001845,0,-7590.81,0,299.942,0.752858,0.013755,0,0,0.231542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001845,0,0,0
0.002276,0,-9815.33,0,299.918,0.752533,0.013749,0,0,0.231442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002276,0,0,0
0.002696,0,-11988.5,0,299.891,0.752217,0.013743,0,0,0.231345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002696,0,0,0
0.003106,0,-14113.4,0,299.861,0.751908,0.013737,0,0,0.23125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003106,0,0,0
0.003506,0,-16193,0,299.827,0.751605,0.013732,0,0,0.231157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003506,0,0,0
0.003898,0,-18230.3,0,299.79,0.75131,0.013726,0,0,0.231066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003898,0,0,0
0.004281,0,-20227.6,0,299.751,0.751021,0.013721,0,0,0.230977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004281,0,0,0
0.004656,0,-22187.5,0,299.709,0.750738,0.013716,0,0,0.23089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004656,0,0,0
0.005024,0,-24112.2,0,299.664,0.750461,0.013711,0,0,0.230805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005024,0,0,0
0.005385,0,-26003.9,0,299.616,0.750188,0.013706,0,0,0.230721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005385,0,0,0
0.005739,0,-27864.6,0,299.566,0.749921,0.013701,0,0,0.230639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005739,0,0,0
0.006087,0,-29696.3,0,299.513,0.749659,0.013696,0,0,0.230558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006087,0,0,0
