Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000204,0,851.251,0.0155958,300.473,0.754215,0.0137794,0,1.64507e-08,0.231897,3.48338e-07,1.48279e-07,2.7859e-07,3.90285e-05,4.83776e-08,1.12783e-05,4.65632e-05,1.13363e-09,3.18337e-08,5.8344e-08,1.17267e-07,5.79644e-09,2.17882e-11,2.11872e-06,5.28801e-10,3.47332e-09,8.03953e-08,1.61381e-08,6.39518e-07,1.8924e-08,6.88838e-10,3.59681e-08,8.06121e-08,2.20325e-07,0,7.69547e-06,2.55719e-09,2.86996e-08,4.87543e-10
0.000404,0,-175.426,0.0308618,300.936,0.75418,0.0137787,0,3.25541e-08,0.231826,6.89317e-07,2.93423e-07,5.51322e-07,7.72332e-05,9.57262e-08,2.23186e-05,9.21434e-05,2.24326e-09,6.29974e-08,1.15455e-07,2.32046e-07,1.14709e-08,4.31177e-11,4.19303e-06,1.04626e-09,6.87246e-09,1.59104e-07,3.19312e-08,1.26562e-06,3.74505e-08,1.36298e-09,7.11734e-08,1.59537e-07,4.35955e-07,0,1.52247e-05,5.05957e-09,5.67983e-08,9.64733e-10
0.000601,0,-1186.84,0.0458756,301.391,0.754146,0.0137781,0,4.8392e-08,0.231755,1.02467e-06,4.36169e-07,8.19581e-07,0.000114808,1.42287e-07,3.3177e-05,0.000136972,3.33455e-09,9.36494e-08,1.71624e-07,3.44921e-07,1.70523e-08,6.4097e-11,6.23344e-06,1.55501e-09,1.02148e-08,2.36524e-07,4.74597e-08,1.88149e-06,5.56735e-08,2.02586e-09,1.05795e-07,2.37177e-07,6.47988e-07,0,2.26262e-05,7.51993e-09,8.44389e-08,1.434e-09
0.000795,0,-2183.7,0.0606384,301.839,0.754113,0.0137775,0,6.39655e-08,0.231686,1.35442e-06,5.76528e-07,1.08339e-06,0.000151757,1.88063e-07,4.38543e-05,0.000181053,4.40757e-09,1.23792e-07,2.26855e-07,4.559e-07,2.2541e-08,8.47276e-11,8.24011e-06,2.0551e-09,1.35005e-08,3.12663e-07,6.27251e-08,2.48716e-06,7.35942e-08,2.67753e-09,1.39836e-07,3.13535e-07,8.56442e-07,0,2.99006e-05,9.93846e-09,1.11623e-07,1.89538e-09
0.000987,0,-3166.74,0.0752272,302.281,0.75408,0.0137769,0,7.93559e-08,0.231618,1.68029e-06,7.15234e-07,1.34411e-06,0.000188271,2.33295e-07,5.44061e-05,0.000224616,5.46792e-09,1.53582e-07,2.81435e-07,5.65563e-07,2.79656e-08,1.05117e-10,1.02235e-05,2.54914e-09,1.67468e-08,3.87916e-07,7.78071e-08,3.0858e-06,9.13062e-08,3.3214e-09,1.73474e-07,3.89009e-07,1.06241e-06,0,3.70861e-05,1.23278e-08,1.38493e-07,2.35129e-09
0.001175,0,-4136.61,0.0894911,302.714,0.754048,0.0137763,0,9.44041e-08,0.231551,1.99892e-06,8.5085e-07,1.59906e-06,0.000223973,2.77514e-07,6.47234e-05,0.00026721,6.50465e-09,1.82711e-07,3.34801e-07,6.72776e-07,3.32699e-08,1.25054e-10,1.2163e-05,3.03204e-09,1.99202e-08,4.61504e-07,9.255e-08,3.6712e-06,1.08626e-07,3.95082e-09,2.0636e-07,4.62819e-07,1.26375e-06,0,4.41085e-05,1.46633e-08,1.64769e-07,2.797e-09
0.001361,0,-5093.95,0.103583,303.141,0.754016,0.0137757,0,1.09271e-07,0.231485,2.3137e-06,9.8483e-07,1.85096e-06,0.000259246,3.21194e-07,7.49166e-05,0.000309292,7.52884e-09,2.11492e-07,3.87524e-07,7.78688e-07,3.85107e-08,1.44753e-10,1.40795e-05,3.50897e-09,2.30547e-08,5.34216e-07,1.07112e-07,4.24963e-06,1.25739e-07,4.57253e-09,2.38849e-07,5.35754e-07,1.46264e-06,0,5.10432e-05,1.69701e-08,1.90734e-07,3.2373e-09
0.001544,0,-6039.4,0.117428,303.561,0.753985,0.0137752,0,1.23878e-07,0.23142,2.62297e-06,1.11646e-06,2.09848e-06,0.000293902,3.64103e-07,8.49315e-05,0.000350638,8.53507e-09,2.39771e-07,4.39324e-07,8.82736e-07,4.36603e-08,1.64108e-10,1.59627e-05,3.97741e-09,2.61337e-08,6.05664e-07,1.21415e-07,4.81802e-06,1.42554e-07,5.18324e-09,2.70765e-07,6.07425e-07,1.65801e-06,0,5.78534e-05,1.92358e-08,2.16248e-07,3.66985e-09
0.001725,0,-6973.53,0.131102,303.976,0.753954,0.0137746,0,1.38305e-07,0.231356,2.92844e-06,1.24647e-06,2.34297e-06,0.000328133,4.0648e-07,9.48235e-05,0.000391475,9.52889e-09,2.67704e-07,4.90487e-07,9.85497e-07,4.8747e-08,1.83226e-10,1.7823e-05,4.43995e-09,2.91741e-08,6.76243e-07,1.35539e-07,5.37949e-06,1.59165e-07,5.78633e-09,3.02288e-07,6.78229e-07,1.85094e-06,0,6.45769e-05,2.1473e-08,2.41454e-07,4.09703e-09
