Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000146,0,1147.18,0,299.999,0.75414,0.013778,0,0,0.231936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146,0,0,0
0.00029,0,408.629,0,299.997,0.754031,0.013776,0,0,0.231903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029,0,0,0
0.000433,0,-322.047,0,299.995,0.753924,0.013774,0,0,0.23187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000433,0,0,0
0.000574,0,-1045.19,0,299.992,0.753817,0.013772,0,0,0.231837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000574,0,0,0
0.000713,0,-1761.13,0,299.989,0.753712,0.01377,0,0,0.231805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000713,0,0,0
0.000851,0,-2470.2,0,299.986,0.753608,0.013768,0,0,0.231773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000851,0,0,0
0.000988,0,-3172.71,0,299.981,0.753505,0.013766,0,0,0.231741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000988,0,0,0
0.001123,0,-3868.98,0,299.977,0.753403,0.013765,0,0,0.231709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001123,0,0,0
0.001258,0,-4559.3,0,299.972,0.753302,0.013763,0,0,0.231678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001258,0,0,0
0.00139,0,-5243.96,0,299.966,0.753201,0.013761,0,0,0.231647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139,0,0,0
0.001522,0,-5923.25,0,299.96,0.753102,0.013759,0,0,0.231617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001522,0,0,0
