Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7e-05,0,1449.38,0.0406599,301.029,0.754183,0.0137788,0,3.62747e-08,0.231816,7.25103e-07,3.44299e-07,3.06277e-07,8.09652e-05,1.35021e-07,2.18472e-05,0.000101048,2.97543e-09,5.04094e-08,1.08414e-07,2.34157e-07,6.2683e-09,1.19288e-10,6.77944e-07,1.30706e-09,9.67444e-09,3.14039e-08,4.60049e-08,4.14949e-07,1.82375e-08,2.09657e-09,7.52712e-08,6.20444e-09,5.66807e-07,0,1.48175e-05,9.24606e-09,8.13229e-09,1.10598e-09
0.000173,0,1007.68,0.0805418,302.037,0.754117,0.0137776,0,7.18576e-08,0.231664,1.43635e-06,6.82004e-07,6.0669e-07,0.000160365,2.67387e-07,4.32722e-05,0.000200142,5.8939e-09,9.98551e-08,2.14721e-07,4.63705e-07,1.24179e-08,2.3632e-10,1.34275e-06,2.58783e-09,1.91573e-08,6.2191e-08,9.10961e-08,8.22022e-07,3.61297e-08,4.15179e-09,1.4908e-07,1.22914e-08,1.12247e-06,0,2.93334e-05,1.8307e-08,1.61105e-08,2.19036e-09
0.000259,0,568.765,0.12012,303.038,0.754052,0.0137764,0,1.07172e-07,0.231514,2.1422e-06,1.01713e-06,9.04812e-07,0.000239143,3.98674e-07,6.45301e-05,0.000298461,8.79009e-09,1.48925e-07,3.20186e-07,6.91375e-07,1.85217e-08,3.52487e-10,2.00231e-06,3.85758e-09,2.85616e-08,9.27277e-08,1.35811e-07,1.22606e-06,5.38891e-08,6.19012e-09,2.22303e-07,1.83332e-08,1.67361e-06,0,4.37208e-05,2.72906e-08,2.40295e-08,3.26603e-09
0.000344,0,132.496,0.158944,304.019,0.753988,0.0137752,0,1.41815e-07,0.231367,2.83461e-06,1.34587e-06,1.19725e-06,0.000316404,5.27392e-07,8.53789e-05,0.000394888,1.16311e-08,1.97061e-07,4.23611e-07,9.14582e-07,2.45105e-08,4.66468e-10,2.64915e-06,5.10189e-09,3.77804e-08,1.22667e-07,1.79641e-07,1.62246e-06,7.13135e-08,8.18843e-09,2.9411e-07,2.4261e-08,2.21396e-06,0,5.78166e-05,3.60952e-08,3.17992e-08,4.32079e-09
0.000429,0,-301.224,0.19748,304.993,0.753925,0.0137741,0,1.76204e-07,0.231221,3.52191e-06,1.67216e-06,1.48752e-06,0.000393077,6.55089e-07,0.00010607,0.000490581,1.4451e-08,2.44841e-07,5.26238e-07,1.13601e-06,3.0456e-08,5.7963e-10,3.29104e-06,6.33575e-09,4.69248e-08,1.5237e-07,2.23114e-07,2.01598e-06,8.86124e-08,1.01708e-08,3.65363e-07,3.01461e-08,2.75003e-06,0,7.17907e-05,4.48266e-08,3.95128e-08,5.3673e-09
0.000513,0,-732.547,0.235285,305.948,0.753863,0.0137729,0,2.09943e-07,0.231077,4.19619e-06,1.99226e-06,1.77228e-06,0.00046828,7.80295e-07,0.000126364,0.000584438,1.72173e-08,2.91715e-07,6.26888e-07,1.35312e-06,3.62898e-08,6.9067e-10,3.92058e-06,7.545e-09,5.58897e-08,1.81493e-07,2.65731e-07,2.4021e-06,1.05586e-07,1.21143e-08,4.35243e-07,3.59206e-08,3.27565e-06,0,8.54827e-05,5.33847e-08,4.70814e-08,6.39354e-09
0.000597,0,-1161.56,0.272818,306.896,0.753801,0.0137718,0,2.4344e-07,0.230935,4.86563e-06,2.31005e-06,2.05498e-06,0.000542926,9.04535e-07,0.000146508,0.000677602,1.99638e-08,3.38253e-07,7.26783e-07,1.56854e-06,4.20828e-08,8.00935e-10,4.54543e-06,8.74435e-09,6.4784e-08,2.10393e-07,3.0801e-07,2.78549e-06,1.22441e-07,1.40427e-08,5.04599e-07,4.16547e-08,3.79721e-06,0,9.90595e-05,6.18734e-08,5.4597e-08,7.41199e-09
0.00068,0,-1588.4,0.309641,307.826,0.753741,0.0137707,0,2.76307e-07,0.230796,5.52242e-06,2.62182e-06,2.33233e-06,0.000616145,1.02636e-06,0.000166267,0.000768984,2.26582e-08,3.8391e-07,8.24758e-07,1.77977e-06,4.77672e-08,9.0914e-10,5.15831e-06,9.91986e-09,7.35042e-08,2.38731e-07,3.49459e-07,3.16169e-06,1.38981e-07,1.59335e-08,5.72622e-07,4.72815e-08,4.30863e-06,0,0.000112363,7.01941e-08,6.19719e-08,8.41076e-09
0.000763,0,-2013.17,0.346206,308.75,0.753681,0.0137696,0,3.08945e-07,0.230657,6.17463e-06,2.9314e-06,2.60774e-06,0.000688837,1.14727e-06,0.000185885,0.000859709,2.53337e-08,4.2925e-07,9.2202e-07,1.98941e-06,5.34129e-08,1.01661e-09,5.76675e-06,1.1086e-08,8.21576e-08,2.66857e-07,3.90588e-07,3.53532e-06,1.55408e-07,1.781e-08,6.4015e-07,5.28699e-08,4.81621e-06,0,0.000125557,7.84492e-08,6.92965e-08,9.40215e-09
0.000845,0,-2436,0.382082,309.655,0.753622,0.0137685,0,3.40969e-07,0.230521,6.81455e-06,3.23514e-06,2.87795e-06,0.000760143,1.26584e-06,0.000205129,0.000948705,2.79587e-08,4.73734e-07,1.01742e-06,2.19498e-06,5.89531e-08,1.12208e-09,6.36356e-06,1.2229e-08,9.06422e-08,2.94438e-07,4.30912e-07,3.90195e-06,1.71528e-07,1.965e-08,7.06383e-07,5.8354e-08,5.31396e-06,0,0.000138487,8.65414e-08,7.64844e-08,1.03744e-08
0.000927,0,-2856.98,0.417713,310.555,0.753564,0.0137675,0,3.72778e-07,0.230386,7.45014e-06,3.53681e-06,3.14632e-06,0.00083095,1.38353e-06,0.000224238,0.00103708,3.05659e-08,5.17917e-07,1.11214e-06,2.39904e-06,6.44567e-08,1.22685e-09,6.95617e-06,1.33631e-08,9.90634e-08,3.21817e-07,4.70933e-07,4.26615e-06,1.87541e-07,2.14765e-08,7.72146e-07,6.38019e-08,5.80806e-06,0,0.000151313,9.45713e-08,8.36246e-08,1.13397e-08
0.001008,0,-3276.24,0.452674,311.437,0.753506,0.0137664,0,4.0399e-07,0.230254,8.07377e-06,3.8328e-06,3.40964e-06,0.00090041,1.49896e-06,0.000242985,0.00112377,3.31239e-08,5.61269e-07,1.20505e-06,2.59914e-06,6.98578e-08,1.32968e-09,7.53748e-06,1.44748e-08,1.07321e-07,3.48668e-07,5.10171e-07,4.62354e-06,2.03256e-07,2.32674e-08,8.36653e-07,6.91482e-08,6.29261e-06,0,0.000163882,1.02443e-07,9.06319e-08,1.22865e-08
0.00109,0,-3693.87,0.48783,312.324,0.753449,0.0137654,0,4.35379e-07,0.230121,8.70092e-06,4.13044e-06,3.67443e-06,0.000970245,1.61497e-06,0.000261833,0.00121093,3.56963e-08,6.04865e-07,1.29845e-06,2.80026e-06,7.52901e-08,1.4331e-09,8.1219e-06,1.55916e-08,1.15619e-07,3.75656e-07,5.49602e-07,4.98299e-06,2.19063e-07,2.50674e-08,9.01502e-07,7.45256e-08,6.77963e-06,0,0.000176507,1.10352e-07,9.76797e-08,1.32382e-08
0.001171,0,-4109.98,0.522329,313.194,0.753392,0.0137643,0,4.66182e-07,0.22999,9.31635e-06,4.4225e-06,3.93426e-06,0.00103876,1.72874e-06,0.000280325,0.00129644,3.82205e-08,6.47645e-07,1.39008e-06,2.99751e-06,8.06218e-08,1.53461e-09,8.69524e-06,1.66865e-08,1.23756e-07,4.02125e-07,5.88266e-07,5.33577e-06,2.34576e-07,2.68327e-08,9.65118e-07,7.98033e-08,7.25729e-06,0,0.00018888,1.18106e-07,1.04597e-07,1.41717e-08
0.001251,0,-4524.68,0.556181,314.047,0.753337,0.0137633,0,4.9641e-07,0.229862,9.92026e-06,4.70909e-06,4.18922e-06,0.00110598,1.84033e-06,0.000298467,0.00138034,4.06973e-08,6.89625e-07,1.47997e-06,3.19095e-06,8.58545e-08,1.63424e-09,9.2577e-06,1.77598e-08,1.31736e-07,4.28085e-07,6.26178e-07,5.68199e-06,2.49802e-07,2.85639e-08,1.02752e-06,8.49831e-08,7.72575e-06,0,0.000201007,1.25708e-07,1.11386e-07,1.50873e-08
0.001331,0,-4938.08,0.589817,314.895,0.753282,0.0137623,0,5.26446e-07,0.229735,1.05203e-05,4.99384e-06,4.44255e-06,0.00117275,1.95115e-06,0.00031649,0.00146368,4.31583e-08,7.31337e-07,1.56925e-06,3.38306e-06,9.10548e-08,1.73326e-09,9.81643e-06,1.88252e-08,1.39659e-07,4.53867e-07,6.63822e-07,6.02606e-06,2.64933e-07,3.0283e-08,1.08951e-06,9.01309e-08,8.19099e-06,0,0.000213041,1.33255e-07,1.18133e-07,1.59968e-08
0.001411,0,-5350.28,0.62324,315.738,0.753227,0.0137613,0,5.56295e-07,0.229608,1.11166e-05,5.27678e-06,4.69427e-06,0.00123909,2.06121e-06,0.000334396,0.00154648,4.56038e-08,7.72786e-07,1.65795e-06,3.57384e-06,9.62231e-08,1.83167e-09,1.03715e-05,1.98828e-08,1.47528e-07,4.79473e-07,7.012e-07,6.36799e-06,2.79972e-07,3.19903e-08,1.15109e-06,9.5247e-08,8.65304e-06,0,0.000224985,1.40747e-07,1.24838e-07,1.69001e-08
