Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000113,0,1316.56,0.0112169,300.235,0.754233,0.0137797,0,9.3929e-09,0.231933,1.6619e-07,7.81485e-08,1.45775e-07,2.00881e-05,2.63045e-08,6.70051e-06,2.30744e-05,8.16658e-10,2.4386e-08,4.85358e-08,5.98657e-08,2.3e-09,3.60252e-11,7.08382e-07,2.08383e-10,1.6353e-09,4.43918e-08,6.23139e-09,2.83288e-07,1.05258e-08,3.92695e-10,3.49302e-08,3.57704e-09,1.43787e-07,0,2.22638e-06,1.30429e-09,5.30744e-09,2.20955e-10
0.000225,0,744.054,0.0223018,300.468,0.754217,0.0137794,0,1.86752e-08,0.231896,3.30423e-07,1.55377e-07,2.89834e-07,3.99397e-05,5.2299e-08,1.33221e-05,4.5877e-05,1.6237e-09,4.84851e-08,9.65003e-08,1.19026e-07,4.57292e-09,7.16264e-11,1.40843e-06,4.14306e-10,3.25131e-09,8.82612e-08,1.23893e-08,5.63242e-07,2.09277e-08,7.80759e-10,6.94492e-08,7.11198e-09,2.85881e-07,0,4.4265e-06,2.59318e-09,1.05524e-08,4.39305e-10
0.000336,0,176.262,0.0332556,300.698,0.754201,0.0137791,0,2.78478e-08,0.23186,4.92715e-07,2.31691e-07,4.32192e-07,5.95565e-05,7.7986e-08,1.98655e-05,6.84101e-05,2.4212e-09,7.22994e-08,1.43898e-07,1.77487e-07,6.81899e-09,1.06807e-10,2.10021e-06,6.17788e-10,4.8482e-09,1.31613e-07,1.84742e-08,8.39891e-07,3.12068e-08,1.16423e-09,1.0356e-07,1.06052e-08,4.26294e-07,0,6.60055e-06,3.8668e-09,1.57355e-08,6.55071e-10
0.000446,0,-387.035,0.0440794,300.925,0.754185,0.0137788,0,3.69115e-08,0.231824,6.5308e-07,3.07101e-07,5.72861e-07,7.89407e-05,1.03368e-07,2.63312e-05,9.06758e-05,3.20924e-09,9.58313e-08,1.90734e-07,2.35254e-07,9.03842e-09,1.4157e-10,2.78379e-06,8.18849e-10,6.4261e-09,1.7445e-07,2.44868e-08,1.11326e-06,4.1364e-08,1.54314e-09,1.37267e-07,1.4057e-08,5.6504e-07,0,8.74876e-06,5.12527e-09,2.08571e-08,8.68274e-10
0.000555,0,-946.022,0.0547743,301.15,0.754169,0.0137785,0,4.58673e-08,0.231789,8.11535e-07,3.81611e-07,7.11855e-07,9.80938e-05,1.28447e-07,3.27199e-05,0.000112676,3.98789e-09,1.19083e-07,2.37011e-07,2.92333e-07,1.12314e-08,1.7592e-10,3.45923e-06,1.01751e-09,7.98518e-09,2.16778e-07,3.04276e-08,1.38337e-06,5.14002e-08,1.91753e-09,1.70572e-07,1.74677e-08,7.02133e-07,0,1.08713e-05,6.36871e-09,2.59177e-08,1.07893e-09
0.000663,0,-1500.92,0.0653412,301.371,0.754154,0.0137782,0,5.47159e-08,0.231754,9.68094e-07,4.5523e-07,8.49187e-07,0.000117018,1.53226e-07,3.90321e-05,0.000134413,4.75722e-09,1.42057e-07,2.82736e-07,3.48728e-07,1.33982e-08,2.09859e-10,4.12659e-06,1.21378e-09,9.52558e-09,2.58599e-07,3.62973e-08,1.65026e-06,6.13165e-08,2.28744e-09,2.03479e-07,2.08376e-08,8.37585e-07,0,1.29684e-05,7.59723e-09,3.09179e-08,1.28707e-09
0.00077,0,-2051.89,0.0757812,301.59,0.754138,0.013778,0,6.34582e-08,0.23172,1.12277e-06,5.27964e-07,9.8487e-07,0.000135714,1.77707e-07,4.52686e-05,0.000155889,5.51731e-09,1.64755e-07,3.27911e-07,4.04445e-07,1.55389e-08,2.4339e-10,4.78595e-06,1.4077e-09,1.10474e-08,2.99919e-07,4.20962e-08,1.91394e-06,7.11137e-08,2.6529e-09,2.35991e-07,2.4167e-08,9.71409e-07,0,1.50403e-05,8.81095e-09,3.5858e-08,1.4927e-09
0.000877,0,-2599.14,0.0861923,301.809,0.754123,0.0137777,0,7.21764e-08,0.231685,1.27702e-06,6.00497e-07,1.12018e-06,0.000154359,2.0212e-07,5.14878e-05,0.000177306,6.2753e-09,1.8739e-07,3.72961e-07,4.60009e-07,1.76738e-08,2.76829e-10,5.44349e-06,1.60107e-09,1.25651e-08,3.41124e-07,4.78791e-08,2.17689e-06,8.0884e-08,3.01734e-09,2.68413e-07,2.74873e-08,1.10486e-06,0,1.71064e-05,1.00213e-08,4.07845e-08,1.69776e-09
0.000982,0,-3142.85,0.0963809,302.023,0.754108,0.0137774,0,8.07083e-08,0.231652,1.42798e-06,6.7148e-07,1.2526e-06,0.000172606,2.26011e-07,5.75741e-05,0.000198265,7.0171e-09,2.09542e-07,4.17049e-07,5.14385e-07,1.9763e-08,3.09553e-10,6.08698e-06,1.7903e-09,1.40503e-08,3.8145e-07,5.35382e-08,2.43423e-06,9.04455e-08,3.37398e-09,3.00142e-07,3.07367e-08,1.23546e-06,0,1.91283e-05,1.12057e-08,4.56057e-08,1.89844e-09
