Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7e-05,0,1449.38,0.00339581,300.556,0.75413,0.0137778,0,1.68965e-09,0.231866,4.50525e-08,2.55448e-08,8.4864e-08,4.14501e-05,1.29919e-07,1.08146e-05,5.07633e-05,2.6106e-10,9.80459e-09,7.97281e-08,2.82048e-07,8.02938e-11,8.771e-13,4.84411e-07,3.80356e-09,1.34374e-08,3.98584e-08,7.97245e-08,4.274e-08,3.87979e-10,2.30508e-09,5.03193e-08,1.16289e-10,6.23343e-07,0,0.000121001,2.17121e-08,1.96515e-10,1.11763e-09
0.000173,0,1007.68,0.00670081,301.092,0.754017,0.0137757,0,3.33749e-09,0.231766,8.89528e-08,5.04338e-08,1.66718e-07,8.14183e-05,2.55245e-07,2.12423e-05,9.97135e-05,5.15234e-10,1.92958e-08,1.56566e-07,5.53723e-07,1.58883e-10,1.73702e-12,9.51174e-07,7.45791e-09,2.63832e-08,7.82362e-08,1.56436e-07,8.39985e-08,7.66482e-10,4.52874e-09,9.88341e-08,2.29834e-10,1.2239e-06,0,0.000235477,4.25917e-08,3.88078e-10,2.19356e-09
0.000259,0,568.765,0.00996213,301.617,0.753907,0.0137737,0,4.96688e-09,0.231668,1.32325e-07,7.50207e-08,2.46766e-07,0.000120493,3.7782e-07,3.14367e-05,0.000147571,7.66141e-10,2.86114e-08,2.31647e-07,8.19038e-07,2.36871e-10,2.5918e-12,1.40717e-06,1.10175e-08,3.90282e-08,1.15701e-07,2.31272e-07,1.24381e-07,1.14087e-09,6.70363e-09,1.46259e-07,3.4224e-10,1.81054e-06,0,0.000345274,6.29493e-08,5.77409e-10,3.24371e-09
0.000344,0,132.496,0.0131494,302.124,0.753803,0.0137718,0,6.56255e-09,0.231574,1.74763e-07,9.90759e-08,3.24298e-07,0.000158327,4.96555e-07,4.13075e-05,0.000193912,1.01145e-09,3.76669e-08,3.04308e-07,1.07566e-06,3.13518e-10,3.43328e-12,1.84839e-06,1.44516e-08,5.12611e-08,1.51923e-07,3.03578e-07,1.63527e-07,1.50764e-09,8.81041e-09,1.92173e-07,4.52449e-10,2.37808e-06,0,0.000449566,8.26072e-08,7.62738e-10,4.25884e-09
0.000429,0,-301.224,0.0163071,302.623,0.753702,0.01377,0,8.14655e-09,0.231483,2.16856e-07,1.22933e-07,4.00422e-07,0.000195463,6.13145e-07,5.0996e-05,0.000239398,1.25455e-09,4.65901e-08,3.7559e-07,1.32726e-06,3.89876e-10,4.27295e-12,2.28114e-06,1.78098e-08,6.32574e-08,1.87424e-07,3.74396e-07,2.01995e-07,1.87185e-09,1.08792e-08,2.37234e-07,5.61981e-10,2.93467e-06,0,0.000549984,1.01849e-07,9.46629e-10,5.25358e-09
0.000513,0,-732.547,0.0194038,303.107,0.753605,0.0137682,0,9.70314e-09,0.231394,2.58186e-07,1.46355e-07,4.74415e-07,0.000231549,7.26482e-07,6.04102e-05,0.0002836,1.49305e-09,5.52949e-08,4.44818e-07,1.57148e-06,4.65176e-10,5.10236e-12,2.70135e-06,2.10609e-08,7.49037e-08,2.2187e-07,4.43062e-07,2.39419e-07,2.22987e-09,1.28902e-08,2.81016e-07,6.69743e-10,3.47505e-06,0,0.000645703,1.20495e-07,1.12726e-09,6.21856e-09
0.000597,0,-1161.56,0.0224818,303.585,0.753511,0.0137665,0,1.12534e-08,0.231307,2.99314e-07,1.6966e-07,5.47315e-07,0.000267089,8.38152e-07,6.96823e-05,0.000327137,1.7302e-09,6.39016e-08,5.12966e-07,1.81175e-06,5.40433e-10,5.93264e-12,3.11491e-06,2.42511e-08,8.63636e-08,2.55744e-07,5.10544e-07,2.76321e-07,2.58657e-09,1.48717e-08,3.24131e-07,7.77194e-10,4.00682e-06,0,0.000738184,1.38809e-07,1.30708e-09,7.16737e-09
0.00068,0,-1588.4,0.0255094,304.05,0.753421,0.0137648,0,1.27813e-08,0.231223,3.39814e-07,1.92607e-07,6.1839e-07,0.00030173,9.47035e-07,7.87192e-05,0.000369572,1.96354e-09,7.23227e-08,5.79351e-07,2.04567e-06,6.14857e-10,6.75503e-12,3.5177e-06,2.73488e-08,9.7523e-08,2.88711e-07,5.76174e-07,3.12331e-07,2.93823e-09,1.68037e-08,3.66149e-07,8.83212e-10,4.52466e-06,0,0.000826611,1.5661e-07,1.48423e-09,8.09057e-09
0.000763,0,-2013.17,0.0285271,304.51,0.753333,0.0137632,0,1.43072e-08,0.23114,3.80229e-07,2.15503e-07,6.88621e-07,0.000335948,1.05463e-06,8.76458e-05,0.000411491,2.19619e-09,8.0673e-08,6.44892e-07,2.27649e-06,6.89439e-10,7.58046e-12,3.91529e-06,3.03974e-08,1.08536e-07,3.21227e-07,6.40862e-07,3.47945e-07,3.28955e-09,1.87128e-08,4.07649e-07,9.89213e-10,5.03575e-06,0,0.000912308,1.74145e-07,1.66107e-09,9.00098e-09
