Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00078,0,-2137.61,0,299.955,0.753662,0.013769,0,0,0.231789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078,0,0,0
0.001513,1e-06,-5948.25,0,299.897,0.753109,0.013759,0,0,0.231618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001513,0,0,0
0.002206,1e-06,-9565.48,0,299.827,0.752586,0.01375,0,0,0.231457,0,0,0,1e-06,0,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002206,0,0,0
0.002863,3e-06,-13013.2,0,299.747,0.75209,0.013741,0,0,0.231304,0,0,0,1e-06,0,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002862,0,0,0
0.003489,4e-06,-16312.6,0,299.66,0.751619,0.013732,0,0,0.231158,0,0,0,2e-06,0,1e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003487,0,0,0
0.004086,7e-06,-19483.2,0,299.569,0.751168,0.013724,0,0,0.231017,0,0,0,3e-06,0,1e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004083,0,0,0
0.00466,1.2e-05,-22543.7,0,299.479,0.750736,0.013716,0,0,0.230881,0,0,0,5e-06,0,2e-06,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004654,0,0,0
0.005211,1.9e-05,-25513.5,0,299.396,0.750319,0.013708,0,0,0.230747,0,0,0,9e-06,0,3e-06,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005203,0,0,0
0.005746,3e-05,-28413.5,0,299.33,0.749916,0.013701,0,0,0.230615,0,0,0,1.4e-05,0,4e-06,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005733,0,0,0
0.006265,4.7e-05,-31268.8,0,299.295,0.749524,0.013694,0,0,0.230482,0,0,0,2.2e-05,0,7e-06,2.5e-05,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0,1e-06,0,0.006245,0,0,0
0.006775,7.5e-05,-34111.3,0,299.316,0.74914,0.013687,0,0,0.230343,0,0,0,3.5e-05,0,1e-05,4e-05,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0,1e-06,0,0.006743,0,0,0
0.00728,0.000118,-36983.6,0,299.43,0.748759,0.01368,0,0,0.230194,0,0,0,5.5e-05,0,1.6e-05,6.3e-05,0,0,0,1e-06,0,0,1e-06,0,0,0,0,0,0,0,0,0,2e-06,0,0.007229,0,0,0
0.007787,0.000186,-39945.1,0,299.695,0.748376,0.013673,0,0,0.230026,0,0,0,8.6e-05,0,2.6e-05,9.9e-05,0,0,0,1e-06,0,0,2e-06,0,0,0,0,0,0,0,0,0,3e-06,0,0.007706,0,0,0
0.008306,0.000292,-43079.9,0,300.203,0.747985,0.013666,0,0,0.229827,0,0,0,0.000136,0,4e-05,0.000156,0,0,0,2e-06,0,0,3e-06,0,0,0,1e-06,0,0,0,0,0,4e-06,0,0.008178,0,0,0
0.008849,0.000456,-46508.7,0,301.095,0.747576,0.013658,0,0,0.229579,0,0,1e-06,0.000213,0,6.3e-05,0.000244,0,0,1e-06,3e-06,0,0,5e-06,0,0,0,1e-06,0,0,0,1e-06,0,7e-06,0,0.008649,0,0,0
0.009436,0.000712,-50403.7,0,302.592,0.747133,0.01365,0,0,0.229254,0,0,1e-06,0.000332,0,9.8e-05,0.00038,0,0,1e-06,4e-06,0,0,8e-06,0,0,1e-06,2e-06,0,0,0,1e-06,0,1.1e-05,0,0.009124,0,0,0
0.010093,0.001105,-55008.4,1e-06,305.028,0.746637,0.013641,0,0,0.228809,0,0,1e-06,0.000515,1e-06,0.000153,0.000591,0,0,1e-06,7e-06,0,0,1.2e-05,0,0,1e-06,3e-06,0,0,0,2e-06,0,1.6e-05,0,0.009609,0,0,0
0.010858,0.001707,-60660,2e-06,308.902,0.746061,0.01363,0,0,0.228186,0,0,2e-06,0.000795,1e-06,0.000236,0.000912,0,0,2e-06,1e-05,0,0,1.8e-05,0,0,2e-06,4e-06,1e-06,0,0,3e-06,0,2.5e-05,0,0.010111,0,0,0
0.01178,0.002615,-67810.6,6e-06,314.942,0.745365,0.013618,0,0,0.227299,0,0,3e-06,0.001218,1e-06,0.000362,0.001397,0,0,3e-06,1.6e-05,0,0,2.8e-05,0,0,3e-06,6e-06,1e-06,0,0,4e-06,0,3.9e-05,0,0.010635,0,0,0
0.012924,0.003967,-77037.8,1.5e-05,324.164,0.744502,0.013602,0,0,0.226031,0,0,5e-06,0.001848,2e-06,0.000549,0.00212,0,0,5e-06,2.4e-05,0,0,4.2e-05,0,1e-06,4e-06,9e-06,2e-06,0,0,6e-06,0,5.9e-05,0,0.011187,1e-06,0,0
0.01437,0.005943,-89028.5,3.7e-05,337.914,0.743411,0.013582,0,0,0.224232,0,0,7e-06,0.002767,4e-06,0.000822,0.003175,0,0,8e-06,3.6e-05,0,0,6.3e-05,0,1e-06,6e-06,1.3e-05,3e-06,0,0,9e-06,0,8.8e-05,0,0.011769,1e-06,0,0
0.016206,0.008758,-104518,9.2e-05,357.844,0.742027,0.013557,0,0,0.22172,0,0,1e-05,0.004078,6e-06,0.001212,0.004679,0,0,1.1e-05,5.4e-05,0,0,9.3e-05,1e-06,2e-06,9e-06,2e-05,4e-06,0,0,1.4e-05,0,0.00013,0,0.012372,2e-06,0,0
0.018514,0.012653,-124181,0.000236,385.796,0.740286,0.013525,0,0,0.218296,0,0,1.5e-05,0.005893,1e-05,0.001751,0.006761,0,0,1.7e-05,7.8e-05,0,0,0.000134,1e-06,2e-06,1.4e-05,2.8e-05,6e-06,0,0,2e-05,0,0.000188,0,0.012975,2e-06,0,0
0.021359,0.01787,-148482,0.000616,423.587,0.73814,0.013486,0,0,0.213768,0,0,2.1e-05,0.008322,1.6e-05,0.002472,0.009548,0,0,2.3e-05,0.00011,0,0,0.00019,1e-06,3e-06,1.9e-05,3.8e-05,8e-06,0,0,2.8e-05,0,0.000265,0,0.013537,3e-06,0,0
0.02477,0.02462,-177555,0.001663,472.748,0.735567,0.013439,0,0,0.207971,0,0,2.9e-05,0.011465,2.6e-05,0.003406,0.013155,0,1e-06,3.2e-05,0.000151,0,0,0.000262,1e-06,5e-06,2.6e-05,5e-05,1.1e-05,0,0,3.9e-05,0,0.000365,0,0.013994,4e-06,0,0
0.028731,0.033076,-211149,0.004814,534.329,0.732579,0.013384,0,0,0.20078,0,0,3.9e-05,0.015403,4.2e-05,0.004576,0.017673,0,1e-06,4.3e-05,0.000202,0,0,0.000352,1e-06,6e-06,3.5e-05,6.4e-05,1.4e-05,0,1e-06,5.2e-05,0,0.000491,0,0.014255,5e-06,0,0
0.033187,0.043362,-248682,0.016169,608.826,0.729218,0.013323,0,0,0.192115,0,0,5.1e-05,0.020192,6.7e-05,0.005999,0.02317,0,2e-06,5.7e-05,0.000264,0,0,0.000461,1e-06,8e-06,4.6e-05,7.8e-05,1.9e-05,0,1e-06,6.9e-05,0,0.000642,0,0.01421,6e-06,0,0
0.038037,0.055574,-289262,0.06784,696.242,0.725561,0.013256,0,0,0.181929,0,0,6.6e-05,0.025878,0.000102,0.007688,0.029696,0,5e-06,7.3e-05,0.000334,0,0,0.000591,1e-06,1.1e-05,5.8e-05,9.1e-05,2.4e-05,0,1e-06,8.8e-05,0,0.000821,0,0.013721,6e-06,0,0
0.043133,0.069786,-331735,0.312071,796.254,0.721717,0.013186,0,0,0.170201,1e-06,0,8.2e-05,0.03249,0.000151,0.009653,0.037295,0,1.2e-05,9.1e-05,0.000409,0,0,0.000739,1e-06,1.3e-05,7e-05,0.0001,3e-05,0,1e-06,0.000111,0,0.001025,0,0.012615,4e-06,0,0
0.04828,0.086052,-374710,1.5309,908.389,0.717835,0.013115,0,0,0.156937,6e-06,2e-06,0.000101,0.040044,0.000214,0.011898,0.046008,0,2.6e-05,0.000112,0.000475,0,0,0.000897,1e-06,1.5e-05,8e-05,0.000103,3.7e-05,0,1e-06,0.000138,0,0.001242,0,0.01071,3e-06,0,0
0.053234,0.104355,-416584,7.38184,1031.86,0.714099,0.013046,0,1e-06,0.142208,3.4e-05,1.4e-05,0.000122,0.048484,0.000276,0.014391,0.05587,1e-06,5e-05,0.000134,0.000507,0,0,0.001032,1e-06,1.4e-05,7.7e-05,9.2e-05,4.6e-05,0,2e-06,0.000171,0,0.001423,0,0.0079,2e-06,1e-06,1e-06
0.057711,0.124318,-455631,26.6863,1163.23,0.710721,0.012985,0,5e-06,0.126355,0.000166,7.8e-05,0.000141,0.05744,0.000275,0.016917,0.066878,4e-06,7e-05,0.000146,0.000458,0,0,0.001034,1e-06,1.1e-05,5.1e-05,6.3e-05,5.5e-05,3e-06,2e-06,0.000205,1e-06,0.001411,0,0.004519,2e-06,3e-06,2e-06
0.061634,0.144504,-491266,55.418,1288.89,0.707762,0.012931,0,1.6e-05,0.110521,0.000533,0.000301,0.00015,0.065724,0.000183,0.018621,0.07878,8e-06,5.7e-05,0.000121,0.000313,0,0,0.000767,0,5e-06,1.8e-05,2.9e-05,6.6e-05,1e-05,2e-06,0.0002,3e-06,0.001025,0,0.001848,1e-06,4e-06,2e-06
0.065131,0.162744,-524096,66.1661,1391.06,0.705125,0.012882,0,3.1e-05,0.096695,0.001071,0.000664,0.000148,0.072002,9.6e-05,0.018405,0.090742,8e-06,3.2e-05,6.8e-05,0.000162,0,0,0.000414,0,2e-06,4e-06,1.2e-05,6.8e-05,1.3e-05,1e-06,0.000132,4e-06,0.000548,0,0.000663,0,3e-06,1e-06
0.068309,0.178267,-554727,60.8423,1469.77,0.702728,0.012839,0,4.5e-05,0.085533,0.001592,0.00096,0.000149,0.076496,5.2e-05,0.016797,0.101771,5e-06,1.7e-05,3.1e-05,7.7e-05,1e-06,0,0.000193,0,1e-06,1e-06,7e-06,5.5e-05,1.1e-05,1e-06,7.1e-05,4e-06,0.00027,0,0.000293,0,2e-06,1e-06
0.07124,0.191375,-583612,52.0472,1532.5,0.700518,0.012798,0,5.3e-05,0.07643,0.002013,0.001124,0.00016,0.080007,3.4e-05,0.014906,0.111368,3e-06,1e-05,1.3e-05,4.1e-05,1e-06,0,9.3e-05,0,0,0,5e-06,3.9e-05,8e-06,0,3.8e-05,3e-06,0.000149,0,0.000182,0,1e-06,1e-06
0.073973,0.202544,-611060,44.0004,1584.56,0.698456,0.012761,0,5.8e-05,0.068725,0.002333,0.00119,0.000175,0.083047,2.5e-05,0.013327,0.119497,2e-06,8e-06,6e-06,2.7e-05,1e-06,0,5.4e-05,0,0,0,5e-06,2.9e-05,6e-06,0,2.4e-05,2e-06,9.8e-05,0,0.000141,0,1e-06,0
0.076543,0.212178,-637292,37.3231,1628.92,0.696517,0.012725,0,6.1e-05,0.06199,0.002575,0.0012,0.000192,0.08584,2e-05,0.01222,0.126338,2e-06,7e-06,4e-06,2.1e-05,1e-06,0,4e-05,0,0,0,4e-06,2.3e-05,6e-06,0,1.7e-05,2e-06,7.2e-05,0,0.00012,0,1e-06,0
0.078977,0.220597,-662476,31.9301,1667.37,0.694682,0.012692,0,6.3e-05,0.055971,0.002759,0.001178,0.000209,0.088473,1.7e-05,0.011559,0.132123,2e-06,7e-06,3e-06,1.8e-05,1e-06,0,3.4e-05,0,0,0,3e-06,2.2e-05,6e-06,0,1.4e-05,2e-06,5.4e-05,0,0.000107,0,1e-06,0
0.081292,0.228046,-686742,27.6269,1701.11,0.692935,0.01266,0,6.4e-05,0.050508,0.002897,0.001138,0.000227,0.090981,1.5e-05,0.011266,0.137065,2e-06,7e-06,2e-06,1.6e-05,1e-06,0,3.2e-05,0,0,0,3e-06,2.3e-05,6e-06,0,1.2e-05,2e-06,4.1e-05,0,9.8e-05,0,1e-06,0
0.083506,0.234716,-710193,24.2201,1731.02,0.691265,0.012629,0,6.5e-05,0.045493,0.002999,0.001088,0.000244,0.093379,1.3e-05,0.011262,0.141336,2e-06,7e-06,2e-06,1.5e-05,1e-06,0,3.1e-05,0,0,0,2e-06,2.4e-05,7e-06,0,1e-05,2e-06,3e-05,0,9e-05,0,1e-06,0
0.085631,0.240747,-732912,21.5314,1757.78,0.689663,0.0126,0,6.6e-05,0.040853,0.00307,0.001033,0.000262,0.095679,1.1e-05,0.011483,0.145068,1e-06,7e-06,2e-06,1.3e-05,1e-06,0,3.1e-05,0,0,0,2e-06,2.7e-05,8e-06,0,9e-06,2e-06,2.2e-05,0,8.4e-05,0,1e-06,0
0.087676,0.246242,-754970,19.4051,1781.86,0.68812,0.012572,0,6.6e-05,0.036532,0.003115,0.000974,0.000282,0.097887,1e-05,0.011884,0.148355,1e-06,7e-06,2e-06,1.3e-05,1e-06,0,3.1e-05,0,0,0,2e-06,3.1e-05,9e-06,0,8e-06,3e-06,1.6e-05,0,7.8e-05,0,1e-06,0
